chr	start	end
m_chr4_14	chr4	28148383	28261957
m_chr4_15	chr4	28295371	28642431
m_chr4_16	chr4	29701761	30246336
m_chr4_17	chr4	30255525	32514948
m_chr4_18	chr4	32624591	33203041
m_chr4_19	chr4	33601264	35293290
m_chr4_20	chr4	35293341	36165931
m_chr4_21	chr4	36166706	36909288
m_chr4_22	chr4	36984770	37062787
m_chr4_23	chr4	37116210	37477348
m_chr4_24	chr4	40153229	40178857
m_chr4_25	chr4	40179412	40320230
m_chr4_26	chr4	40461042	44574101
m_chr4_27	chr4	47593488	48102578
m_chr4_28	chr4	48710511	49068210
m_chr4_29	chr4	49821256	50614913
m_chr4_30	chr4	50678305	51075383
m_chr4_31	chr4	51154297	52348506
m_chr4_32	chr4	52351260	52625105
m_chr4_33	chr4	52627071	53728992
m_chr4_34	chr4	53750953	54786909
m_chr4_35	chr4	54787363	55451726
m_chr4_36	chr4	55459701	55633824
m_chr4_37	chr4	55941681	57389360
m_chr4_38	chr4	57403553	57694206
m_chr4_39	chr4	57810473	58779291
m_chr4_40	chr4	58816616	60681708
m_chr4_41	chr4	61010755	62343858
m_chr4_42	chr4	62375763	64023565
m_chr4_43	chr4	64085733	64454143
m_chr4_44	chr4	64454334	66760790
m_chr4_45	chr4	66764476	66940109
m_chr4_46	chr4	67009215	68395201
m_chr4_47	chr4	68412368	68489653
m_chr4_48	chr4	68519211	68648971
m_chr4_49	chr4	68666428	69949390
m_chr4_50	chr4	69984951	71642705
m_chr4_51	chr4	71664543	72497543
m_chr4_52	chr4	74663225	78163005
m_chr4_53	chr4	79219594	81253922
m_chr4_54	chr4	81506161	82633360
m_chr4_55	chr4	82636470	82795426
m_chr4_56	chr4	82814583	82872340
m_chr4_57	chr4	82922317	86780778
m_chr4_58	chr4	86783905	87217133
m_chr4_59	chr4	87271954	91804047
m_chr4_60	chr4	91918782	92441013
m_chr4_61	chr4	92442384	92839979
m_chr4_62	chr4	92847024	94739023
m_chr4_63	chr4	94740662	95526145
m_chr4_64	chr4	95583529	95649807
m_chr4_65	chr4	95649927	95923724
m_chr4_66	chr4	95937594	97184384
m_chr4_67	chr4	97213352	97663462
m_chr4_68	chr4	97668882	99085922
m_chr4_69	chr4	99087201	99258128
m_chr4_70	chr4	99385650	99931299
m_chr4_71	chr4	100218897	101426165
m_chr4_72	chr4	101444617	101592468
m_chr4_73	chr4	101742007	104440631
m_chr4_74	chr4	105054039	105723142
m_chr4_75	chr4	105768151	106289076
m_chr4_76	chr4	106326154	107814466
m_chr4_77	chr4	108171765	108271694
m_chr4_78	chr4	108322517	108341571
m_chr4_79	chr4	108343676	108410070
m_chr4_80	chr4	108630231	111738657
m_chr4_81	chr4	111754730	113320139
m_chr4_82	chr4	113320626	113824559
m_chr4_83	chr4	113950666	118952180
m_chr4_84	chr4	119186448	119263561
m_chr4_85	chr4	119463616	119478249
m_chr4_86	chr4	119601145	119927889
m_chr4_87	chr4	120755662	122175701
m_chr4_88	chr4	122405162	122740002
m_chr4_89	chr4	122954133	123395781
m_chr4_90	chr4	123398624	123458516
m_chr4_91	chr4	123498776	123702842
m_chr4_92	chr4	125145951	127297431
m_chr4_93	chr4	128546728	129615520
m_chr4_94	chr4	129770456	129926126
m_chr4_95	chr4	129976378	130180812
m_chr4_96	chr4	130600913	132797244
m_chr4_97	chr4	132797453	134746456
m_chr4_98	chr4	134747462	134893011
m_chr4_99	chr4	134934623	135225080
m_chr4_100	chr4	135232351	135515677
m_chr4_101	chr4	135571995	136471486
m_chr4_102	chr4	136519114	138675044
m_chr4_103	chr4	138755906	140298085
m_chr4_104	chr4	140660645	140964647
m_chr4_105	chr4	141690587	142148932
m_chr4_106	chr4	142149206	142161743
m_chr4_107	chr4	142476664	143018232
m_chr4_108	chr4	143397521	147326700
m_chr4_109	chr4	148019065	148707952
m_chr4_110	chr4	148839974	149737058
m_chr4_111	chr4	151457199	153490632
m_chr4_112	chr4	153491046	156500776
m_chr4_113	chr4	156505147	156775934
m_chr4_114	chr4	156788422	158073042
m_chr4_115	chr4	158153686	158571690
m_chr4_116	chr4	158972984	159668933
m_chr4_117	chr4	159680096	162523365
m_chr4_118	chr4	162523991	166513850
m_chr4_119	chr4	166620545	167809496
m_chr4_120	chr4	167884882	168442909
m_chr4_121	chr4	168444323	169870334
m_chr4_122	chr4	169922285	171233725
m_chr4_123	chr4	171495069	176688557
m_chr4_124	chr4	176688791	176790315
m_chr4_125	chr4	176796249	178010069
m_chr4_126	chr4	178362529	179552264
m_chr4_127	chr4	179552310	181944660
m_chr4_128	chr4	182231571	182429200
m_chr4_129	chr4	182554644	182562759
m_chr4_130	chr4	182570218	184776438
m_chr4_131	chr4	184779220	184896937
m_chr4_132	chr4	184929959	185955337
m_chr4_133	chr4	185957237	186801962
m_chr4_134	chr4	187450875	187755215
m_chr4_135	chr4	187947396	189209249
m_chr4_136	chr4	189236752	191156384
m_chr4_137	chr4	191199023	191208060
m_chr4_138	chr4	191226256	191633260
m_chr4_139	chr4	191683811	191974252
m_chr4_140	chr4	191975367	192522295
m_chr4_141	chr4	192575975	193090904
m_chr4_142	chr4	193115871	193651479
m_chr4_143	chr4	193903768	194336034
m_chr4_144	chr4	194353043	195506629
m_chr4_145	chr4	196347801	196688162
m_chr4_146	chr4	196718054	198512680
m_chr4_147	chr4	199192001	199928025
m_chr4_148	chr4	200141474	200307711
m_chr4_149	chr4	200347692	201271816
m_chr4_150	chr4	201342827	201598283
m_chr4_151	chr4	201677893	202121666
m_chr4_152	chr4	202178806	202605474
m_chr4_153	chr4	202606982	202922238
m_chr4_154	chr4	202935837	203282888
m_chr4_155	chr4	203606027	205573334
m_chr4_156	chr4	205573846	206055087
m_chr4_157	chr4	206129369	206940508
m_chr4_158	chr4	206959767	207366438
m_chr4_159	chr4	207953016	208529015
m_chr4_160	chr4	208591252	210121737
m_chr4_161	chr4	210843760	211826101
m_chr4_162	chr4	211891521	212465639
m_chr4_163	chr4	212783911	213762315
m_chr4_164	chr4	213773669	214813287
m_chr4_165	chr4	214815059	215499961
m_chr4_166	chr4	215558573	216004699
m_chr4_167	chr4	216019779	216711884
m_chr4_168	chr4	216987751	217111900
m_chr4_169	chr4	217395740	218018641
m_chr4_170	chr4	218067655	219522106
m_chr4_171	chr4	220332576	220386545
m_chr4_172	chr4	220545955	220959264
m_chr4_173	chr4	221136418	221322529
m_chr4_174	chr4	221323577	221352790
m_chr4_175	chr4	221508294	221588710
m_chr4_176	chr4	222720468	223202451
m_chr5_1	chr5	1	481563
m_chr5_2	chr5	490539	723833
m_chr5_3	chr5	863101	1120371
m_chr5_4	chr5	1171666	1444417
m_chr5_5	chr5	1444983	1458327
m_chr5_6	chr5	1458822	4199580
m_chr5_7	chr5	9607323	10196421
m_chr5_8	chr5	13848696	15213348
m_chr5_9	chr5	17320247	25819767
m_chr5_10	chr5	27023039	28187775
m_chr5_11	chr5	29138938	29178634
m_chr5_12	chr5	30205673	30791045
m_chr5_13	chr5	30814553	31204975
m_chr5_14	chr5	31353941	31576567
m_chr5_15	chr5	31659136	32473223
m_chr5_16	chr5	32660120	35948391
m_chr5_17	chr5	36035364	36653692
m_chr5_18	chr5	36772162	36880417
m_chr5_19	chr5	36880542	37008651
m_chr5_20	chr5	37496852	37927272
m_chr5_21	chr5	39766128	39937506
m_chr5_22	chr5	39938658	40000853
m_chr5_23	chr5	40002434	40386213
m_chr5_24	chr5	40388808	43228195
m_chr5_25	chr5	43233986	44137832
m_chr5_26	chr5	44169339	46345710
m_chr5_27	chr5	46649943	51060058
m_chr5_28	chr5	51064404	52484089
m_chr5_29	chr5	52491653	52813986
m_chr5_30	chr5	52844143	52863303
m_chr5_31	chr5	53033552	53171860
m_chr5_32	chr5	53244909	53414751
m_chr5_33	chr5	53791891	54661602
m_chr5_34	chr5	57778598	58481028
m_chr5_35	chr5	58482025	58621731
m_chr5_36	chr5	59022476	59604114
m_chr5_37	chr5	59777287	59918364
m_chr5_38	chr5	59921035	60287555
m_chr5_39	chr5	60328656	65614085
m_chr5_40	chr5	70173439	70406696
m_chr5_41	chr5	71112342	72582949
m_chr5_42	chr5	74665772	74687290
m_chr5_43	chr5	74786801	76005202
m_chr5_44	chr5	76051999	78576645
m_chr5_45	chr5	82301924	82378460
m_chr5_46	chr5	82715114	83479358
m_chr5_47	chr5	83483389	83885093
m_chr5_48	chr5	83909580	84885314
m_chr5_49	chr5	85008825	87126628
m_chr5_50	chr5	87172558	87802032
m_chr5_51	chr5	88241094	88242771
m_chr5_52	chr5	88249229	89606677
m_chr5_53	chr5	89606923	91127006
m_chr5_54	chr5	91148210	91684134
m_chr5_55	chr5	93196120	93423172
m_chr5_56	chr5	93424849	94829940
m_chr5_57	chr5	95444575	97667211
m_chr5_58	chr5	97669655	102763277
m_chr5_59	chr5	102765707	103070627
m_chr5_60	chr5	103075009	103558411
m_chr5_61	chr5	103610401	106545330
m_chr5_62	chr5	106564538	107292755
m_chr5_63	chr5	108897125	108978746
m_chr5_64	chr5	109157646	109216121
m_chr5_65	chr5	109259098	109275895
m_chr5_66	chr5	109278867	110312207
m_chr5_67	chr5	110318724	111013326
m_chr5_68	chr5	111116649	111313259
m_chr5_69	chr5	111322811	112154286
m_chr5_70	chr5	112164573	112557192
m_chr5_71	chr5	112616226	112872478
m_chr5_72	chr5	112874129	114491801
m_chr5_73	chr5	114492277	116684513
m_chr5_74	chr5	116737291	117477776
m_chr5_75	chr5	118069915	118162764
m_chr5_76	chr5	118173209	120582107
m_chr5_77	chr5	120682177	121848944
m_chr5_78	chr5	121849519	123701067
m_chr5_79	chr5	124155217	125935683
m_chr5_80	chr5	125945237	125960327
m_chr5_81	chr5	125960645	128896876
m_chr5_82	chr5	129041146	129977637
m_chr5_83	chr5	129994119	130311554
m_chr5_84	chr5	130610837	130820679
m_chr5_85	chr5	130866559	131153535
m_chr5_86	chr5	131154273	132810622
m_chr5_87	chr5	132840551	134470984
m_chr5_88	chr5	134647987	138957902
m_chr5_89	chr5	138958698	139532861
m_chr5_90	chr5	139545825	140176527
m_chr5_91	chr5	140209155	140735287
m_chr5_92	chr5	141706091	141754308
m_chr5_93	chr5	141780750	141813102
m_chr5_94	chr5	142016998	145337514
m_chr5_95	chr5	145339914	147532440
m_chr5_96	chr5	147981162	149271088
m_chr5_97	chr5	149336099	151217248
m_chr5_98	chr5	152197237	153614697
m_chr5_99	chr5	153643388	154340964
m_chr5_100	chr5	154355661	154839262
m_chr5_101	chr5	154848215	155480145
m_chr5_102	chr5	155482085	155999454
m_chr5_103	chr5	156001010	156739710
m_chr5_104	chr5	156817407	156842631
m_chr5_105	chr5	157049638	157674874
m_chr5_106	chr5	157682666	157768288
m_chr5_107	chr5	157858274	159685748
m_chr5_108	chr5	159688726	160638260
m_chr5_109	chr5	160645798	162382190
m_chr5_110	chr5	162386620	162555377
m_chr5_111	chr5	162569566	163042341
m_chr5_112	chr5	163043039	163083297
m_chr5_113	chr5	163113525	165497230
m_chr5_114	chr5	165543718	165730454
m_chr5_115	chr5	165809477	168251937
m_chr5_116	chr5	168276095	171000223
m_chr5_117	chr5	171001142	172130918
m_chr5_118	chr5	172155418	172217530
m_chr5_119	chr5	172221637	172299681
m_chr5_120	chr5	172304558	172369361
m_chr5_121	chr5	172375447	172800935
m_chr5_122	chr5	172874864	173316259
m_chr5_123	chr5	173407837	178500365
m_chr5_124	chr5	178501924	178598605
m_chr5_125	chr5	178598605	179731524
m_chr5_126	chr5	180935853	181219874
m_chr5_127	chr5	181222394	181323965
m_chr5_128	chr5	181458800	181495030
m_chr5_129	chr5	181499231	181912254
m_chr5_130	chr5	181912305	181939133
m_chr5_131	chr5	181950871	182597162
m_chr5_132	chr5	182615599	182673321
m_chr5_133	chr5	182694341	183198702
m_chr5_134	chr5	183199047	183234272
m_chr5_135	chr5	183234331	184582739
m_chr5_136	chr5	187931639	189515848
m_chr5_137	chr5	189774159	189930137
m_chr5_138	chr5	189930521	189937431
m_chr5_139	chr5	190651887	191161553
m_chr5_140	chr5	191182122	191440448
m_chr5_141	chr5	191446818	191702476
m_chr5_142	chr5	191940153	192176825
m_chr5_143	chr5	192181468	192251206
m_chr5_144	chr5	192251265	192286576
m_chr5_145	chr5	192612287	193581131
m_chr5_146	chr5	193581433	193772283
m_chr5_147	chr5	193773098	193796333
m_chr5_148	chr5	193796411	194050025
m_chr5_149	chr5	194638847	194885021
m_chr5_150	chr5	195171563	196013229
m_chr5_151	chr5	196023886	196218701
m_chr5_152	chr5	198645791	199181870
m_chr5_153	chr5	199183084	199217422
m_chr5_154	chr5	199218031	199221937
m_chr5_155	chr5	199262897	199423518
m_chr5_156	chr5	199428701	199774007
m_chr5_157	chr5	199931063	200077745
m_chr5_158	chr5	200206506	200433798
m_chr5_159	chr5	201985717	202406565
m_chr5_160	chr5	202549409	202640083
m_chr5_161	chr5	202657070	203278626
m_chr5_162	chr5	203437318	204894432
m_chr5_163	chr5	205607297	205808868
m_chr5_164	chr5	207032501	208194559
m_chr5_165	chr5	208313708	208376752
m_chr5_166	chr5	208419279	212248056
m_chr5_167	chr5	212370171	212502508
m_chr5_168	chr5	212514913	212519266
m_chr5_169	chr5	212533933	212538769
m_chr5_170	chr5	215541387	215924297
m_chr5_171	chr5	216825065	217491111
m_chr6_1	chr6	1	1236858
m_chr6_2	chr6	2902720	3695594
m_chr6_3	chr6	4171785	4273743
m_chr6_4	chr6	4439979	4508754
m_chr6_5	chr6	10669766	11502068
m_chr6_6	chr6	11874046	13063805
m_chr6_7	chr6	13066466	19015785
m_chr6_8	chr6	22799975	22838063
m_chr6_9	chr6	22838063	23698772
m_chr6_10	chr6	23723278	24638791
m_chr6_11	chr6	26169537	26385453
m_chr6_12	chr6	26432101	26492509
m_chr6_13	chr6	28337903	29676729
m_chr6_14	chr6	29711889	29815802
m_chr6_15	chr6	29828443	29868606
m_chr6_16	chr6	29930584	32828569
m_chr6_17	chr6	34581783	37059081
m_chr6_18	chr6	37085576	37120421
m_chr6_19	chr6	37175546	37251265
m_chr6_20	chr6	37667974	38445039
m_chr6_21	chr6	38577208	43206447
m_chr6_22	chr6	43293256	45383499
m_chr6_23	chr6	45959054	46076605
m_chr6_24	chr6	46418579	46969278
m_chr6_25	chr6	46973941	47102425
m_chr6_26	chr6	47131951	48112839
m_chr6_27	chr6	48135685	49976930
m_chr6_28	chr6	49977888	50076263
m_chr6_29	chr6	50104110	50495051
m_chr6_30	chr6	50552820	52564918
m_chr6_31	chr6	52917649	53120238
m_chr6_32	chr6	53149993	53898189
m_chr6_33	chr6	57782617	57828580
m_chr6_34	chr6	57906650	58139448
m_chr6_35	chr6	58153965	60526017
m_chr6_36	chr6	60597418	60898470
m_chr6_37	chr6	60981486	61470494
m_chr6_38	chr6	61618719	63079733
m_chr6_39	chr6	63265490	63648681
m_chr6_40	chr6	65027305	66202118
m_chr6_41	chr6	66230575	67481675
m_chr6_42	chr6	67958445	69899546
m_chr6_43	chr6	69970977	74901258
m_chr6_44	chr6	74910060	75590666
m_chr6_45	chr6	75596134	76182116
m_chr6_46	chr6	76182911	76614873
m_chr6_47	chr6	76616339	76695634
m_chr6_48	chr6	76718724	82248851
m_chr6_49	chr6	82250347	82331581
m_chr6_50	chr6	82363921	82388184
m_chr6_51	chr6	82400817	84681311
m_chr6_52	chr6	84771158	84872090
m_chr6_53	chr6	84915300	85673405
m_chr6_54	chr6	85675248	86619502
m_chr6_55	chr6	86913738	87778115
m_chr6_56	chr6	88103382	88596837
m_chr6_57	chr6	88873197	89594342
m_chr6_58	chr6	89716428	90366542
m_chr6_59	chr6	90366692	90442021
m_chr6_60	chr6	90454308	90757434
m_chr6_61	chr6	90770756	91474738
m_chr6_62	chr6	91510327	92744085
m_chr6_63	chr6	93035828	96875009
m_chr6_64	chr6	97007867	97874752
m_chr6_65	chr6	97884216	98061300
m_chr6_66	chr6	98791568	100545784
m_chr6_67	chr6	100598836	101140981
m_chr6_68	chr6	101343713	101533501
m_chr6_69	chr6	101534557	102816677
m_chr6_70	chr6	103187107	103305904
m_chr6_71	chr6	103317725	105552149
m_chr6_72	chr6	105552616	105674372
m_chr6_73	chr6	105722808	106112297
m_chr6_74	chr6	106545724	107419813
m_chr6_75	chr6	108066125	111844722
m_chr6_76	chr6	111856993	112422665
m_chr6_77	chr6	112425466	112914925
m_chr6_78	chr6	112921649	113061346
m_chr6_79	chr6	113063057	113115819
m_chr6_80	chr6	113115831	116939330
m_chr6_81	chr6	116963557	118471657
m_chr6_82	chr6	118472685	118906450
m_chr6_83	chr6	118926289	120374011
m_chr6_84	chr6	120374312	120855989
m_chr6_85	chr6	120893210	121625929
m_chr6_86	chr6	121713074	123437703
m_chr6_87	chr6	123470206	127820097
m_chr6_88	chr6	127860548	128063970
m_chr6_89	chr6	128087830	128121813
m_chr6_90	chr6	128728112	129115007
m_chr6_91	chr6	129673759	129949690
m_chr6_92	chr6	129950632	131280654
m_chr6_93	chr6	131332126	133055206
m_chr6_94	chr6	133064231	133463333
m_chr6_95	chr6	133466449	134722366
m_chr6_96	chr6	134749200	135483609
m_chr6_97	chr6	135485117	136551520
m_chr6_98	chr6	136574366	136604080
m_chr6_99	chr6	136609425	137692982
m_chr6_100	chr6	138068967	138240886
m_chr6_101	chr6	138667658	140901650
m_chr6_102	chr6	140923336	142109467
m_chr6_103	chr6	142122469	142307848
m_chr6_104	chr6	142308744	142831752
m_chr6_105	chr6	142839186	143434085
m_chr6_106	chr6	143469347	143655069
m_chr6_107	chr6	143724985	145795994
m_chr6_108	chr6	145969255	146585559
m_chr6_109	chr6	146671384	146846053
m_chr6_110	chr6	146924122	147506548
m_chr6_111	chr6	147702372	148353598
m_chr6_112	chr6	148360205	148663716
m_chr6_113	chr6	148749063	149245819
m_chr6_114	chr6	149275770	151270919
m_chr6_115	chr6	151274214	151764392
m_chr6_116	chr6	151969407	153318534
m_chr6_117	chr6	154542775	154798459
m_chr6_118	chr6	154890494	156032936
m_chr6_119	chr6	156061457	156149782
m_chr6_120	chr6	156150041	157079654
m_chr6_121	chr6	157163606	158322675
m_chr6_122	chr6	158407821	160261613
m_chr6_123	chr6	160415553	160464680
m_chr6_124	chr6	160473181	160613395
m_chr6_125	chr6	160616130	160789248
m_chr6_126	chr6	161532384	162786987
m_chr6_127	chr6	163441307	165530359
m_chr6_128	chr6	165583710	166007081
m_chr6_129	chr6	166014211	166287311
m_chr6_130	chr6	166922504	167117263
m_chr6_131	chr6	167119284	168702922
m_chr6_132	chr6	168741812	168936568
m_chr6_133	chr6	168970809	169275982
m_chr6_134	chr6	169276212	170068886
m_chr6_135	chr6	170332191	172623916
m_chr6_136	chr6	172676450	173590675
m_chr6_137	chr6	173594463	174498955
m_chr6_138	chr6	174512632	176287652
m_chr6_139	chr6	176356084	178637414
m_chr6_140	chr6	178794069	181241010
m_chr6_141	chr6	181288449	181550661
m_chr6_142	chr6	182380841	182474162
m_chr6_143	chr6	182478297	182846767
m_chr6_144	chr6	182847608	182863840
m_chr6_145	chr6	182970213	183271390
m_chr6_146	chr6	183345315	183881467
m_chr6_147	chr6	183928562	185328456
m_chr6_148	chr6	185328504	189110809
m_chr6_149	chr6	189112108	189412483
m_chr6_150	chr6	189453385	191048152
m_chr6_151	chr6	191048819	192212995
m_chr6_152	chr6	192369063	192905001
m_chr6_153	chr6	193328441	194122659
m_chr6_154	chr6	195553761	195591739
m_chr6_155	chr6	196506174	198113906
m_chr6_156	chr6	198988511	202121177
m_chr6_157	chr6	202605807	202759728
m_chr6_158	chr6	202763561	202774423
m_chr6_159	chr6	202915596	203614514
m_chr6_160	chr6	205278730	205477318
m_chr6_161	chr6	205930871	205965436
m_chr6_162	chr6	205971542	206706795
m_chr6_163	chr6	207740286	213465050
m_chr6_164	chr6	216477632	216787620
m_chr7_1	chr7	1	1050651
m_chr7_2	chr7	1155232	2638672
m_chr7_3	chr7	2639436	2648171
m_chr7_4	chr7	2698693	3927393
m_chr7_5	chr7	3938647	4438226
m_chr7_6	chr7	4657432	6833516
m_chr7_7	chr7	6834514	7115767
m_chr7_8	chr7	8584379	10173573
m_chr7_9	chr7	10651486	11004240
m_chr7_10	chr7	11068745	11869876
m_chr7_11	chr7	11888676	12120198
m_chr7_12	chr7	12148534	12559994
m_chr7_13	chr7	12646457	13664806
m_chr7_14	chr7	13825627	13886977
m_chr7_15	chr7	13964675	13968058
m_chr7_16	chr7	14044837	14339330
m_chr7_17	chr7	14531671	14742009
m_chr7_18	chr7	16247124	16716306
m_chr7_19	chr7	17239114	20713390
m_chr7_20	chr7	20870036	21869187
m_chr7_21	chr7	22215389	22457878
m_chr7_22	chr7	24090993	25186075
m_chr7_23	chr7	25208294	25246532
m_chr7_24	chr7	25986771	26270829
m_chr7_25	chr7	26742158	27323852
m_chr7_26	chr7	27576423	29182800
m_chr7_27	chr7	29193610	29311750
m_chr7_28	chr7	29324022	30247099
m_chr7_29	chr7	30249319	30750007
m_chr7_30	chr7	30838782	32555941
m_chr7_31	chr7	32568830	33695232
m_chr7_32	chr7	33852658	35272329
m_chr7_33	chr7	35407512	36591783
m_chr7_34	chr7	37253339	37399433
m_chr7_35	chr7	37400633	37779771
m_chr7_36	chr7	38299337	38550380
m_chr7_37	chr7	38562234	38762275
m_chr7_38	chr7	38839958	38844803
m_chr7_39	chr7	38844893	39135323
m_chr7_40	chr7	39325811	40265414
m_chr7_41	chr7	40441673	41373072
m_chr7_42	chr7	41454925	43154539
m_chr7_43	chr7	43193256	45930029
m_chr7_44	chr7	45940558	47258085
m_chr7_45	chr7	47412406	47777136
m_chr7_46	chr7	47778454	48198936
m_chr7_47	chr7	48199929	48454740
m_chr7_48	chr7	48486781	49422626
m_chr7_49	chr7	49485733	50578213
m_chr7_50	chr7	51018258	53954549
m_chr7_51	chr7	54043930	54284923
m_chr7_52	chr7	54304536	55454117
m_chr7_53	chr7	55503725	56317325
m_chr7_54	chr7	56366687	56772857
m_chr7_55	chr7	56781157	56853983
m_chr7_56	chr7	56930018	62881574
m_chr7_57	chr7	63016536	63664556
m_chr7_58	chr7	63689587	64982526
m_chr7_59	chr7	64983981	65024057
m_chr7_60	chr7	65024833	67692495
m_chr7_61	chr7	67695737	68282788
m_chr7_62	chr7	68284050	69131423
m_chr7_63	chr7	69345706	69545286
m_chr7_64	chr7	69569287	70828623
m_chr7_65	chr7	71310181	72078972
m_chr7_66	chr7	72135104	73202667
m_chr7_67	chr7	73243634	74745756
m_chr7_68	chr7	74750333	74961137
m_chr7_69	chr7	74986807	77752241
m_chr7_70	chr7	77752399	78742576
m_chr7_71	chr7	81013167	85799833
m_chr7_72	chr7	85810958	86139938
m_chr7_73	chr7	86197319	87306458
m_chr7_74	chr7	87543568	88034300
m_chr7_75	chr7	88276267	88577329
m_chr7_76	chr7	88583149	89340277
m_chr7_77	chr7	90074161	90491900
m_chr7_78	chr7	90514195	92801625
m_chr7_79	chr7	92802325	93505461
m_chr7_80	chr7	93550385	94318825
m_chr7_81	chr7	94400896	95550808
m_chr7_82	chr7	95703628	96794998
m_chr7_83	chr7	96807182	97190098
m_chr7_84	chr7	97451752	102104743
m_chr7_85	chr7	102157261	102716012
m_chr7_86	chr7	106426650	106623942
m_chr7_87	chr7	106624776	107477714
m_chr7_88	chr7	107479252	108563673
m_chr7_89	chr7	108579432	111122466
m_chr7_90	chr7	111169309	111412993
m_chr7_91	chr7	113847304	113939547
m_chr7_92	chr7	114045311	114777829
m_chr7_93	chr7	114783639	115231450
m_chr7_94	chr7	116612765	118017534
m_chr7_95	chr7	118018718	119977817
m_chr7_96	chr7	119990688	120299037
m_chr7_97	chr7	121639217	122164399
m_chr7_98	chr7	122165639	122799152
m_chr7_99	chr7	122820419	122927803
m_chr7_100	chr7	123893662	127379843
m_chr7_101	chr7	127387950	127729185
m_chr7_102	chr7	128885047	128960871
m_chr7_103	chr7	128960994	129800230
m_chr7_104	chr7	129852266	131177212
m_chr7_105	chr7	131182264	131608970
m_chr7_106	chr7	131609524	133112017
m_chr7_107	chr7	133113527	133125276
m_chr7_108	chr7	133125730	134037233
m_chr7_109	chr7	134037574	134161672
m_chr7_110	chr7	134162135	136138127
m_chr7_111	chr7	136390344	139070622
m_chr7_112	chr7	140038448	140883142
m_chr7_113	chr7	140888498	141157045
m_chr7_114	chr7	141158809	141734237
m_chr7_115	chr7	141764087	142239141
m_chr7_116	chr7	142272656	144229340
m_chr7_117	chr7	144246480	144445316
m_chr7_118	chr7	144451749	144931011
m_chr7_119	chr7	144944057	145394927
m_chr7_120	chr7	146491767	146788188
m_chr7_121	chr7	147097737	148657250
m_chr7_122	chr7	148665590	148688057
m_chr7_123	chr7	148689061	150060109
m_chr7_124	chr7	150060318	150490754
m_chr7_125	chr7	150490886	151334785
m_chr7_126	chr7	151364252	153365387
m_chr7_127	chr7	153368127	154655540
m_chr7_128	chr7	154676466	155403083
m_chr7_129	chr7	155468277	156215157
m_chr7_130	chr7	156228611	156514441
m_chr7_131	chr7	156550115	156960588
m_chr7_132	chr7	157153230	158240677
m_chr7_133	chr7	158242648	159374405
m_chr7_134	chr7	159398757	162801476
m_chr7_135	chr7	162831873	164387477
m_chr7_136	chr7	164402137	164915825
m_chr7_137	chr7	164926006	165741198
m_chr7_138	chr7	165744147	166299385
m_chr7_139	chr7	166391979	167627633
m_chr7_140	chr7	167631718	169254903
m_chr7_141	chr7	170531234	173710813
m_chr7_142	chr7	173712481	175768812
m_chr7_143	chr7	176984589	178187042
m_chr7_144	chr7	178239742	180762749
m_chr7_145	chr7	181402569	182175727
m_chr7_146	chr7	182176825	183701424
m_chr7_147	chr7	183730774	185894418
m_chr7_148	chr7	185895004	187218797
m_chr7_149	chr7	187246262	188254337
m_chr7_150	chr7	188262052	190542880
m_chr7_151	chr7	191217881	191280348
m_chr7_152	chr7	191312183	191489197
m_chr7_153	chr7	193734362	195761954
m_chr7_154	chr7	195766236	197126740
m_chr7_155	chr7	197305119	197342472
m_chr7_156	chr7	197627383	202337127
m_chr7_157	chr7	202337649	203052862
m_chr7_158	chr7	203082044	203160837
m_chr8_1	chr8	1	1492231
m_chr8_2	chr8	2649783	3948861
m_chr8_3	chr8	4288426	5635315
m_chr8_4	chr8	5663906	5689266
m_chr8_5	chr8	5703060	6934613
m_chr8_6	chr8	7024240	7435750
m_chr8_7	chr8	8113473	9026753
m_chr8_8	chr8	9035564	10059803
m_chr8_9	chr8	10065529	11445383
m_chr8_10	chr8	11445632	11485688
m_chr8_11	chr8	11486459	11565050
m_chr8_12	chr8	11704729	12154673
m_chr8_13	chr8	12155662	12157516
m_chr8_14	chr8	12160692	12178910
m_chr8_15	chr8	12389845	13046429
m_chr8_16	chr8	13748159	14133678
m_chr8_17	chr8	14759888	15242439
m_chr8_18	chr8	15244900	17100554
m_chr8_19	chr8	17311854	18171534
m_chr8_20	chr8	19138720	20061612
m_chr8_21	chr8	20248526	20539990
m_chr8_22	chr8	20714177	20843993
m_chr8_23	chr8	21180993	21742606
m_chr8_24	chr8	23761842	26144879
m_chr8_25	chr8	26436315	27509283
m_chr8_26	chr8	27515446	27629412
m_chr8_27	chr8	27827832	30412574
m_chr8_28	chr8	30419086	30860643
m_chr8_29	chr8	30860955	30888120
m_chr8_30	chr8	30892052	31378186
m_chr8_31	chr8	31407128	31543861
m_chr8_32	chr8	31842093	32814537
m_chr8_33	chr8	32923413	33968058
m_chr8_34	chr8	34465511	35528306
m_chr8_35	chr8	35602220	37973806
m_chr8_36	chr8	39403959	39440331
m_chr8_37	chr8	39553609	40026442
m_chr8_38	chr8	40218044	40510948
m_chr8_39	chr8	40512613	40580723
m_chr8_40	chr8	40580733	41583971
m_chr8_41	chr8	41760393	44104996
m_chr8_42	chr8	44176510	44191217
m_chr8_43	chr8	44404786	44417741
m_chr8_44	chr8	44418460	44594730
